,nameFirst,nameFull,nameLast
569,Brian,Brian Banks,Banks
570,Ernie,Ernie Banks,Banks
571,George,George Banks,Banks
572,Willie,Willie Banks,Banks
573,Everett,Everett Bankston,Bankston
574,Jim,Jim Banning,Banning
575,Alan,Alan Bannister,Bannister
576,Floyd,Floyd Bannister,Bannister
577,Jimmy,Jimmy Bannon,Bannon
578,Tom,Tom Bannon,Bannon
579,Jack,Jack Banta,Banta
580,Travis,Travis Baptist,Baptist
581,Rod,Rod Barajas,Barajas
582,Walter,Walter Barbare,Barbare
583,Red,Red Barbary,Barbary
584,Jap,Jap Barbeau,Barbeau
585,Dave,Dave Barbee,Barbee
586,Brian,Brian Barber,Barber
587,Charlie,Charlie Barber,Barber
588,Steve,Steve Barber,Barber
589,Steve,Steve Barber,Barber
590,Turner,Turner Barber,Barber
591,Frank,Frank Barberich,Barberich
592,Bret,Bret Barberie,Barberie
593,Jim,Jim Barbieri,Barbieri
594,Lorenzo,Lorenzo Barcelo,Barcelo
595,Curt,Curt Barclay,Barclay
596,George,George Barclay,Barclay
597,Ray,Ray Bare,Bare
598,Jesse,Jesse Barfield,Barfield
599,John,John Barfield,Barfield
600,Clyde,Clyde Barfoot,Barfoot
601,Greg,Greg Bargar,Bargar
602,Cy,Cy Barger,Barger
603,Brian,Brian Bark,Bark
604,Al,Al Barker,Barker
605,Glen,Glen Barker,Barker
606,Kevin,Kevin Barker,Barker
607,Len,Len Barker,Barker
608,Ray,Ray Barker,Barker
609,Richie,Richie Barker,Barker
610,Andy,Andy Barkett,Barkett
611,Brian,Brian Barkley,Barkley
612,Jeff,Jeff Barkley,Barkley
613,Red,Red Barkley,Barkley
614,Sam,Sam Barkley,Barkley
615,Al,Al Barlick,Barlick
616,Mike,Mike Barlow,Barlow
617,Tom,Tom Barlow,Barlow
618,Bruce,Bruce Barmes,Barmes
619,Babe,Babe Barna,Barna
620,Charlie,Charlie Barnabe,Barnabe
621,Bill,Bill Barnes,Barnes
622,Bob,Bob Barnes,Barnes
623,Brian,Brian Barnes,Barnes
624,Eppie,Eppie Barnes,Barnes
625,Frank,Frank Barnes,Barnes
626,Frank,Frank Barnes,Barnes
627,Honey,Honey Barnes,Barnes
628,Jesse,Jesse Barnes,Barnes
629,John,John Barnes,Barnes
630,Junie,Junie Barnes,Barnes
631,Larry,Larry Barnes,Barnes
632,Lute,Lute Barnes,Barnes
633,Red,Red Barnes,Barnes
634,Rich,Rich Barnes,Barnes
635,Ross,Ross Barnes,Barnes
636,Sam,Sam Barnes,Barnes
637,Skeeter,Skeeter Barnes,Barnes
638,Virgil,Virgil Barnes,Barnes
639,Ed,Ed Barney,Barney
640,Rex,Rex Barney,Barney
641,Clyde,Clyde Barnhart,Barnhart
642,Edgar,Edgar Barnhart,Barnhart
643,Les,Les Barnhart,Barnhart
644,Vic,Vic Barnhart,Barnhart
645,George,George Barnicle,Barnicle
646,Billy,Billy Barnie,Barnie
647,Ed,Ed Barnowski,Barnowski
648,Salome,Salome Barojas,Barojas
649,Dick,Dick Barone,Barone
650,Bob,Bob Barr,Barr
651,Bob,Bob Barr,Barr
652,Jim,Jim Barr,Barr
653,Scotty,Scotty Barr,Barr
654,Steve,Steve Barr,Barr
655,Cuno,Cuno Barragan,Barragan
656,German,German Barranca,Barranca
657,,,Barrett
658,Bill,Bill Barrett,Barrett
659,Bill,Bill Barrett,Barrett
660,Bob,Bob Barrett,Barrett
661,Dick,Dick Barrett,Barrett
662,Frank,Frank Barrett,Barrett
663,Jimmy,Jimmy Barrett,Barrett
664,Johnny,Johnny Barrett,Barrett
665,Marty,Marty Barrett,Barrett
666,Marty,Marty Barrett,Barrett
667,Michael,Michael Barrett,Barrett
668,Red,Red Barrett,Barrett
669,Tim,Tim Barrett,Barrett
670,Tom,Tom Barrett,Barrett
671,Francisco,Francisco Barrios,Barrios
672,Jose,Jose Barrios,Barrios
673,Manuel,Manuel Barrios,Barrios
674,Frank,Frank Barron,Barron
675,Red,Red Barron,Barron
676,Tony,Tony Barron,Barron
677,Ed,Ed Barrow,Barrow
678,Cuke,Cuke Barrows,Barrows
679,Frank,Frank Barrows,Barrows
680,Ed,Ed Barry,Barry
681,Hardin,Hardin Barry,Barry
682,Jack,Jack Barry,Barry
683,Jeff,Jeff Barry,Barry
684,Rich,Rich Barry,Barry
685,Shad,Shad Barry,Barry
686,Tom,Tom Barry,Barry
687,Kimera,Kimera Bartee,Bartee
688,Dick,Dick Bartell,Bartell
689,Bob,Bob Barthelson,Barthelson
690,John,John Barthold,Barthold
691,Les,Les Bartholomew,Bartholomew
692,Tony,Tony Bartirome,Bartirome
693,Bill,Bill Bartley,Bartley
694,Boyd,Boyd Bartley,Bartley
695,Irv,Irv Bartling,Bartling
696,Bob,Bob Barton,Barton
697,Harry,Harry Barton,Barton
698,Shawn,Shawn Barton,Barton
699,Vince,Vince Barton,Barton
700,Dave,Dave Bartosch,Bartosch
701,Charlie,Charlie Bartson,Bartson
702,Monty,Monty Basgall,Basgall
703,Al,Al Baschang,Baschang
704,Walt,Walt Bashore,Bashore
705,Eddie,Eddie Basinski,Basinski
706,Jim,Jim Baskette,Baskette
707,Dick,Dick Bass,Bass
708,Doc,Doc Bass,Bass
709,John,John Bass,Bass
710,Kevin,Kevin Bass,Bass
711,Norm,Norm Bass,Bass
712,Randy,Randy Bass,Bass
713,Charley,Charley Bassett,Bassett
714,Johnny,Johnny Bassler,Bassler
715,Charlie,Charlie Bastian,Bastian
716,Emil,Emil Batch,Batch
717,Joe,Joe Batchelder,Batchelder
718,Rich,Rich Batchelor,Batchelor
719,John,John Bateman,Bateman
720,Billy,Billy Bates,Bates
721,Bud,Bud Bates,Bates
722,Charlie,Charlie Bates,Bates
723,Del,Del Bates,Bates
724,Dick,Dick Bates,Bates
725,Frank,Frank Bates,Bates
726,Jason,Jason Bates,Bates
727,John,John Bates,Bates
728,Johnny,Johnny Bates,Bates
729,Ray,Ray Bates,Bates
730,Bill,Bill Bathe,Bathe
731,Miguel,Miguel Batista,Batista
732,Rafael,Rafael Batista,Batista
733,Tony,Tony Batista,Batista
734,Kevin,Kevin Batiste,Batiste
735,Kim,Kim Batiste,Batiste
736,Bill,Bill Batsch,Batsch
737,Larry,Larry Battam,Battam
738,George,George Batten,Batten
